Comment,Val,Designator,Footprint,JLCPCB Part #
,10u,C1-2,C_0402_1005Metric,C161147
,100n,"C3-11,C14",C_0402_1005Metric,C1525
,2.2uF,"C12-13,C15",C_0402_1005Metric,C307418
,D_Small,D1-8,SOD-123,C109203
,6V 0.5A,F1,Fuse_0603_1608Metric,C122965
,USB_C_Receptacle,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
,1k,"R1,R6,R8",R_0402_1005Metric,C11702
,5.1k,R2-3,R_0402_1005Metric,C25905
,27,"R4-5,",R_0402_1005Metric,C25100
,10k,R7,R_0402_1005Metric,C25744
,3A/10V/280mV,SD1,D_SOD-123,C8598
,LED_GREEN,STLED1,LED_0402_1005Metric,C130723
,SWBoot,SW9-10,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C92589
,NCP1117-3.3_SOT223,U1,SOT-223,C146799
,RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
,W25Q128JVPIQ,U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862
,12MHz_Q22FA23V00285,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341520